node_id,tier,region,x,y,capacity,cost_factor,risk_level,reliability
0,0,India,80.17446204031398,13.223664920698305,846.1133056967849,0.73,0.1137488473302083,0.933510977950987
1,0,Kenya,36.018543383631254,0.4357045382741473,1115.3492042892813,0.75,0.293054762982314,0.8665295463668938
2,0,India,75.08747534451152,18.26922766014773,1025.30518403028,0.67,0.2417992059489841,0.9507097819748068
3,0,India,74.97107990047749,16.240873295481755,739.7022050906224,0.74,0.3475492170965214,0.8893243472855261
4,0,Norway,5.416019662282064,60.94537562775845,1441.485487036999,0.75,0.2556451205310507,0.98292315520949
5,0,India,93.652377615497,27.515201849933863,1104.5484938658892,0.8,0.185464863686536,0.9617967600198728
6,0,India,83.95746902952928,23.604549742763517,1093.1289511591344,0.6,0.166219147658057,0.905073217575166
7,0,Kenya,35.6885986969567,1.1492689446291324,1144.9830450862537,0.76,0.28093763512252,0.6675428378157361
8,0,China 1,114.22538803754532,28.71416127968336,1299.165305101435,0.68,0.1946594068195605,0.942330455523942
9,0,India,80.41139869412923,20.4383817867481,1149.3161183826464,0.62,0.1875148887862905,0.8450505453614496
10,0,China 1,98.63164358444526,31.32881011548696,779.8029489976043,0.77,0.3266771790155505,0.9276866507468364
11,0,Kenya,40.35794673382513,-1.260003910840363,717.9397592048517,0.75,0.1370724814850913,0.973520943811499
12,0,India,78.39303847143763,18.698177674309356,850.4697366486268,0.85,0.2409248065120501,0.9442337081740976
13,0,Kenya,39.9028965945905,-0.9163629077631978,803.026478838641,0.73,0.3153152398228975,0.8842533632492826
14,0,Norway,11.36278364356634,79.24980422129737,850.2862637776881,0.84,0.1330473811527401,0.9651372488398392
15,0,Kenya,41.12271203606991,-1.12504715366887,1048.073455107623,0.8,0.2367897604643656,0.9282948381200588
16,0,India,74.20054864382477,17.224449001443844,628.872506844265,0.78,0.0858639699414242,0.9243075780665522
17,0,China 1,124.1244848598318,43.219795889940485,644.109039244237,0.75,0.1554616200343518,0.7754020831001862
18,0,Kenya,36.79305249431388,1.0721199474777334,449.9551474390496,0.73,0.2143871907999275,0.8790448505142702
19,0,Norway,10.6601601900554,64.35617319341031,953.168489593283,0.71,0.0284428899655132,0.9889810548635912
20,0,India,77.96254612583341,22.91318775604574,860.8037648497769,0.68,0.1418328811400192,0.8924648182367411
21,0,Norway,14.113244039553852,79.4010149570664,645.1731880599243,0.69,0.224593450117244,0.7651038513828408
22,0,China 1,103.810373166985,27.72441305052371,1472.3202522689114,0.67,0.1689968990218276,0.9260067339410624
23,0,Kenya,36.76308750235357,-2.531742743721312,1006.9986168500528,0.73,0.1357182333391245,0.9799863205030592
24,0,China 1,99.51639542076438,25.885870152189025,931.0716620141814,0.74,0.2751191385190644,0.9441835643759804
25,0,India,76.35411551829368,33.64661893937421,854.993541599956,0.78,0.235025557697528,0.9205234296424152
26,0,Kenya,37.746058387894905,-0.1533691033412827,1207.9212341278635,0.8,0.2912873260694069,0.9210015593906504
27,0,Norway,5.947430719631833,58.99743983861299,951.6543915301602,0.85,0.2137161418558596,0.9195934761114384
28,0,Norway,13.7439442069245,79.46319549187922,977.4189287938882,0.71,0.0760336931302578,0.9466666475417376
29,0,Norway,12.80098589676762,79.53391252528839,667.8608431523955,0.71,0.1220781214633809,0.8616148485944435
30,1,China 2,86.3780928408712,41.31316909780747,416.72614294197774,0.92,0.2535940502503918,0.9304467181817462
