source,target,lead_time,transport_cost,capacity_share,disruption_probability
0,33,19.24143934217025,519.4394474798956,0.1324304065742211,0.2008442698903658
0,35,7.15370931585436,135.08624516828485,0.3283294043404217,0.1104361067849874
0,42,6.707231846113691,130.71835136334755,0.2397868970033625,0.1558508866244631
0,44,7.645761989587365,99.01822350832042,0.0283563730563352,0.0941329686166113
1,34,18.0,602.2364798617036,0.3324595175376079,0.1536506404645745
1,42,21.251467726017484,599.7888029779376,0.2105800289204792,0.2206781147889441
2,35,3.824520907215,120.3431131117567,0.3116032672390215,0.2258969247510649
2,51,7.463447727748031,52.74401481576305,0.2168116128618145,0.2245365701067313
2,54,16.629040172372857,333.8319682263116,0.1857022802057768,0.1323060422170342
3,40,19.5677592331526,367.81493215788345,0.0936358648913418,0.267737064850617
3,44,6.720123865568229,122.95015046155734,0.1564832074852926,0.2546112464547089
3,47,4.185564035409712,115.64128488386996,0.0890935386267263,0.2332827378205414
3,48,23.64844649570985,552.0121257781707,0.1150161695430115,0.246009259423722
3,52,25.03208692553251,359.21487265948633,0.1824753024065629,0.1856672478970481
4,35,31.318188577275627,621.6534984476435,0.4000811020211886,0.2411654066640076
4,43,32.33602998377446,685.4085579854354,0.1358105549337433,0.3311984419718415
5,37,6.684280932505338,66.15888202050414,0.1514364925365516,0.1014111415714524
5,40,12.0,351.05592669912795,0.2332863389034934,0.1514403358604976
5,45,18.24730890917792,220.69710794074868,0.1050710235166122,0.1436525964159008
5,52,12.0,379.1763876227489,0.0513255565774083,0.2139563203970601
5,54,19.74999699430014,286.4500332309328,0.1545165047922337,0.1832723249905249
6,32,15.050303259973951,331.3594604123689,0.0315341304330905,0.203872379711535
6,36,9.833681560959745,90.48106651060424,0.0689131234799914,0.1522845607189602
6,40,21.583105187296507,394.4776345440057,0.1649400155248584,0.1192908592999516
6,50,12.0,273.75395866225546,0.3247086581741547,0.1981445832571847
7,31,32.05337609838123,747.0517659613344,0.2631107302626696,0.2072731547568481
7,35,22.420067267592568,543.4886117290281,0.2048007303777683,0.2267497577372307
7,46,18.0,573.6271302553873,0.1542245068998529,0.1904790523379247
7,52,29.086011942716176,604.6938774627259,0.0508515683918114,0.2627137817030658
8,37,26.2377262419391,412.6959865703271,0.2264182673128427,0.0474098472757117
8,52,8.279308590969483,98.9474021901255,0.3150146383390071,0.146931348715932
9,34,12.0,256.14243810815645,0.1189187824528258,0.1820532795627547
9,48,21.137860147219403,502.6519734993505,0.2519907194472903,0.209050640154198
9,50,20.0,329.29433999731805,0.3334269149175312,0.178785833232595
10,32,10.19268329399047,116.55676958957343,0.4181470520656221,0.2428032851408939
10,37,16.186765868426207,297.78637711030484,0.2141283043370446,0.1788352764517696
11,33,26.538633720389303,702.1129486535092,0.4189620867467271,0.1906120461907068
11,43,22.387854546663565,435.3553662493429,0.1990256451535773,0.1458274204342015
12,31,18.0,482.0049922847535,0.2611548287393525,0.1890167105320732
12,37,13.3628336319238,93.69539216322,0.1011916247173042,0.1433898087320143
12,39,20.0,339.8169489499343,0.031652071395815,0.1695341352521819
12,43,10.565837259779064,109.56484603592848,0.1561366756633318,0.2579279950368119
12,49,12.033655206122768,135.0415566919302,0.0249417961739657,0.2739438212549524
13,44,21.125488325602923,369.2246190127784,0.3674947175309971,0.2183230662558504
13,47,18.0,478.1385856776716,0.2087199602820994,0.2886036989919428
14,30,32.12868177836615,673.6486732111528,0.322223732479538,0.1534260130723103
14,33,26.655349941451945,791.0519496410658,0.1788275426080582,0.0781456141036162
14,38,31.137079660193702,728.2868547488359,0.1213712422086956,0.0233628795521789
14,49,25.57528994430282,752.8150159976744,0.1206993508624458,0.227925898309423
15,34,23.772537779027235,483.6169026682256,0.1095050352075133,0.2081806455361689
15,38,21.992315776149727,452.0857402035965,0.1290615265860495,0.1633139924690342
15,39,18.0,575.2466661777767,0.2552561837101815,0.1472155544150225
15,41,25.311579428375257,625.1503589328247,0.0915809182024782,0.01
16,43,10.805337752899304,88.07936928054494,0.2919761415934299,0.1509440572344497
16,47,9.752276205683184,102.46381546346689,0.2421295933019057,0.1623983268527519
16,53,28.0,368.8719199794929,0.0341066227531917,0.1125666216432782
17,40,12.26401375327752,336.79384474646224,0.1232307030252521,0.1037752834923955
17,45,13.173158726794007,114.662266823186,0.264035494677431,0.1243657621237758
17,53,20.0,234.4824144097753,0.3477269801390694,0.1647666399777179
18,48,31.984342986057708,762.9283463300121,0.2611701969719538,0.2425028211446394
18,52,21.38771967560565,531.6104116409739,0.4019038068032183,0.1064216538337552
20,46,17.11899852145381,319.850632367681,0.4116431221096545,0.115507396307533
20,47,9.920699028595564,69.218683002436,0.1564575007732719,0.1396247376897212
20,48,18.0,432.75003556328505,0.186120911666129,0.1265799763620591
21,39,31.456837083564228,715.4180156842076,0.193045692757331,0.103894974064127
21,40,30.888436088817645,759.3659078969569,0.0952279572400996,0.1057628167970384
21,48,26.1064842018678,863.290336856037,0.1323018342503584,0.2185890698978675
21,52,32.190936688638324,655.7706848935479,0.1496104663420256,0.1215077820673568
22,33,12.0,261.03927059677665,0.1380300533657724,0.1238238464101236
22,37,18.287511424957863,391.9045104921198,0.2095007693421103,0.1312441569135198
22,40,14.434666402865432,276.3849781267389,0.0823869037796253,0.1000347237130263
22,45,9.469730212042933,117.7168222343557,0.2938283576510004,0.0815757865996554
23,30,18.0,528.1158970740237,0.2656420121813603,0.1910650029357002
23,36,20.20599371337455,492.2411064195382,0.3762296747429393,0.2675156070158282
24,32,2.0,106.85518322693343,0.7476656454908848,0.1572013014163626
25,34,15.438051461174636,204.80777249795165,0.3206215044758213,0.1542801343542745
25,46,14.948989251978054,282.54814415688224,0.1634762568365524,0.3184185584826583
25,47,7.962420025400268,100.41702032914026,0.1894829516189419,0.1125582391187934
26,32,23.827262793122564,533.5493406518633,0.0354392095768426,0.3282779166875405
26,38,18.630938012858994,474.17579164474455,0.0704206851426588,0.2657441702586721
26,42,20.096791825965997,606.8246388111372,0.0470367696303957,0.1354349533035568
26,45,25.58626956337853,542.392323977753,0.06131126229539,0.1867856484845077
26,51,18.58648159775453,439.3443931650734,0.4271335624752129,0.2754916212560561
