source,target,lead_time,transport_cost,capacity_share,disruption_probability,flow_quantity
0,2237,8.730975292965445,350.55288468618505,0.23315484148228022,0.0535254422485074,24924.520232320036
0,2304,10.950728663743027,294.31829051079166,0.1464027739149172,0.049339921611179005,10478.310812606604
1,1924,10.951270468279185,337.8540573428903,0.034125831808519684,0.1615132641186018,46658.42785467338
1,2273,7.888951740402234,271.70564858623936,0.2483874063990173,0.3114602126202538,33739.221737950444
1,2345,7.421864744530817,328.2978291052167,0.08924639361893635,0.1687789999839295,25868.38777265886
1,2489,4.0544369671783445,71.34678865821414,0.20622133395220116,0.19741852805976828,22323.08141710004
1,2625,2.511093354710138,76.71112732243778,0.2952194426992771,0.041761766366426784,30144.02440022531
2,1599,5.699149706328742,314.22812611353703,0.2185208520591486,0.2252100742206132,31633.350772310452
2,1687,6.461034973820003,269.6933472178095,0.18264100448142456,0.09817753753664811,38144.24324394245
2,1797,2.8899188745641182,72.78325686558077,0.16551388716703774,0.2891872488813673,36401.37591054856
3,1818,2.6218933770875132,79.11964299575021,0.23852072853317416,0.14464708561157982,43974.37771139107
4,1715,6.78024760962021,329.9602065174363,0.2522087821022754,0.16349413363793266,10281.174505893781
4,1889,9.382371946758036,386.0589252949307,0.3488543765003627,0.14989902919040837,22005.07668283302
4,2071,10.55165686948396,283.4485655442526,0.3542911378079672,0.26678338740278773,34420.257766237235
5,1830,11.757417611718422,385.7996980813414,0.5735757697400431,0.17553572996100095,22669.452708661105
5,2340,3.2587077330942913,74.78651745210038,0.08463909060000352,0.12977901871676617,42455.50756757394
5,2347,15.056354474211354,268.79667758070167,0.3550902125373318,0.2507367346008277,28069.181757940023
5,2409,13.128646569270602,271.8187474297327,0.34270095260511185,0.26631225445147394,36324.47761802384
6,2105,4.986887415936547,255.89943958265295,0.2338933623299619,0.15094148923001993,40456.72110189824
6,2561,12.161765371092239,302.36847505146164,0.3849370883444612,0.2731339175344313,26649.471456015202
7,1715,11.175739838190013,417.2046360458561,0.2695307902517982,0.24907479824900083,46000.423350384306
7,2008,9.280213218313554,239.987242320527,0.28723607601300905,0.21647336427873534,23687.343687019224
7,2400,10.795348661105363,285.607102607897,0.5372533542322918,0.1896033461777984,21376.06630367494
7,2472,11.306894635581088,279.13235494664735,0.36864619783650393,0.23451419270829402,26274.05090932658
8,1932,13.870122367851096,293.5810935073908,0.46200464496705473,0.14981189628929842,46358.02683981418
8,2497,4.294962300373022,111.82918918749407,0.26732211130289724,0.09870860673656143,29239.12398658098
9,1856,11.823696856740614,348.867695810668,0.40029252538892807,0.026164890999626392,33450.69103513009
9,1903,5.725061089756256,259.2484931316748,0.31202354939171056,0.14751912182681282,37597.65381579866
9,2001,12.689951939282686,228.42133438610136,0.45607448927576566,0.10247818129645096,48169.33289203698
9,2411,6.770024127235727,223.25007491934883,0.4798960595395579,0.08829877264654906,32588.429533783536
9,2442,3.7070877680190875,99.13986301248254,0.23367552949737788,0.09880140960036446,40039.78881964333
10,1955,4.29718412420957,99.9124139167729,0.4534470149200907,0.20656945036206975,44367.607488182824
10,2402,5.183143802113098,148.0464178992672,0.5437797446728414,0.2513020506555082,44880.578112043826
10,2422,12.117231332234109,337.53709634941026,0.4966009488856837,0.2370626639047794,19775.428204197953
10,2676,3.9734448292781335,133.91240458295425,0.05099444577276837,0.2604199686061799,11165.495083701517
11,2134,2.4745973183353014,148.0800788867481,0.4031956375453034,0.15136219459331435,38744.42462093326
11,2267,9.337140562993941,369.1092752266138,0.15236826785146032,0.18261987753064557,25277.412693347047
11,2306,4.672624859480711,315.8721576617493,0.4438774656302298,0.16551116348744166,31059.2156916863
11,2542,8.577348873520162,335.5423640419109,0.30883316036933517,0.16797527871910323,24787.52875229843
11,2576,9.322263821226452,344.39436239098984,0.2919061641708873,0.19248766996058622,23975.935022348018
12,1806,13.966278105220248,236.3779395513595,0.05469020349835349,0.10095469163027365,39101.861135462284
12,2000,1.8037902006745454,105.02715911859849,0.48801096795928955,0.07426735981985644,16582.180508500955
12,2040,11.056245819128435,298.13844599234284,0.4365840000448016,0.07330672042078162,23006.24582043214
12,2196,9.677326731753915,333.51510834193743,0.40913859450033224,0.12151416394626577,39518.66482674262
14,1611,10.861406129893716,360.4892308296914,0.6425848876693082,0.06791333913931764,11689.564792867308
14,1688,9.76777596310784,350.40025834155017,0.1911378689838199,0.21873572426322446,12877.641240640482
14,1689,7.713867789637582,296.04922210568225,0.15180884525192967,0.17269996832997042,43043.31194462844
14,2453,9.097080085470203,267.4271938827218,0.01,0.15605814954671607,26289.37794017233
14,2703,8.335619146548536,355.96373496493334,0.335993102646629,0.01,47484.188115728495
14,2713,3.171588047679171,89.54870347951123,0.2521484753294667,0.168629280754288,12448.991541513315
15,1641,5.808705631392193,374.19099689286907,0.528666881185748,0.10440332965150778,26319.30664939988
15,2192,14.561444882012802,265.3961851000126,0.44024359226231946,0.27011380603065266,37208.39774055047
16,1944,12.602401394576093,324.3988543171453,0.43799576845417476,0.08277094320616472,37280.12816497809
16,2728,15.31319103975625,170.86241583237572,0.27233788040828083,0.18636511451531804,10801.406710119607
